file,$Unique,name,$Subtitle,$CardClass,$CardClass2,$CardClass3,$ResourceCost,$Level,$Slot,$Slot2,$Stamina,$Sanity,$Skill1,$Skill2,$Skill3,$Skill4,$Skill5,$Skill6,$Copyright,$Traits,$Rules,$Flavor,$Victory,portSource,portScale,portX,portY,$Artist,$Collection,$CollectionNumber
用書扔牠們！ [Seeker][event],,"""用書扔牠們！""",,Seeker,None,None,1,0,None,None,None,None,Combat,Intellect,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",局勢. 臨時製品.,<b>攻擊</b>。選擇你控制的一張<b><i>書籍</i></b>支援卡。這次攻擊中你+X<com>，其中X為該支援卡的印刷費用。如果你成功，你可以自動躲避被攻擊的敵人，或在本攻擊結束後，你可以結算所選支援卡上的一個<act>或<fre>能力<i>(忽略其<act>費用，如果有的話)</i>。,"
""孩子你……你比我意料中的懂得更多。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10049.png,1.25,0,118,David Hovey,fhvp,49
劇烈突變 [Seeker][event],,劇烈突變,,Seeker,None,None,1,0,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",局勢. 科學.,"<b>躲避</b>。這次躲避你可以不使用<agi>，改為使用<int>。如果你成功且該敵人非<b><i>精英</i></b>，疊加劇烈突變到該敵人。
被疊加的敵人獲得：""龐大。不能移動。
<rea>在你躲避該敵人後：發現其所在地點的1個線索。(每輪限制一次。)""","
""我說的是'炸了牠'，不是'<u>變大</u>牠'""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10050.png,1.25,0,118,Edgar Sánchez Hidalgo,fhvp,50
精準調校 (1) [Seeker][event],,精準調校,,Seeker,None,None,2,1,None,None,None,None,Agility,Intellect,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",洞察. 升級.,"疊加到你控制的<b><i>工具</i></b>或<b><i>科學</i></b>支援卡。每張支援卡限制1張。
<rea>在被疊加的支援卡消耗後，消耗精準調校：準備被疊加的支援卡。","
""我跟你保證沒什麼好怕的！""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10054.png,1.25,0,118,Billy Norrby,fhvp,54
混淆視聽 (3) [Seeker][event],,混淆視聽,,Seeker,None,None,2,3,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",洞察. 技巧.,<b>談判</b>。選擇你所在地點的1名敵人。檢定<int>(X)，其中X為所選敵人的躲避值。如果你成功，發現你所在地點的2個線索。然後，如果所選敵人非<b><i>精英</i></b>，自動躲避該敵人。該敵人在下個補給階段期間不準備。,"
""赫伯特，這招從來沒成功過。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10057.png,1.25,0,118,Andreia Ugrai,fhvp,57
銀行劫案 [Rogue][event],,銀行劫案,,Rogue,None,None,2,0,None,None,None,None,Agility,Combat,Intellect,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",局勢. 雙倍. 違法.,"作為打出銀行劫案額外費用，花費一個行動。
你所在地點的調查員獲得總計8資源，由你自行分配","
""別喊名字，倒霉蛋。""
""抱歉，芬恩。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10069.png,1.25,0,118,Lin Hsiang,fhvp,69
詐降 [Rogue][event],,詐降,,Rogue,None,None,1,0,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",策略. 技巧.,<b>談判</b>。選擇你所在地點的一名敵人並從你手牌中打出一張<b><i>武器</i></b>支援卡，並減少其費用1點。然後你可以使用該武器對所選敵人進行一次攻擊行動，不使用所示的技能，改為使用<agi>。,"
""你會是個很厲害的牛仔。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10070.png,1.25,0,118,Carlos Palma Cruchaga,fhvp,70
詐財 [Rogue][event],,詐財,,Rogue,None,None,0,0,None,None,None,None,Agility,Intellect,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",技巧. 違法.,<b>談判</b>。選擇你所在地點的一名敵人並檢定<agi>(0)。你每成功且超過難度1點，獲得1資源(最多6資源)。如果你失敗，該敵人攻擊你。,"
""看啊！有隻笨鳥。""
""我沒看到啊。""
""我有。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10071.png,1.25,0,118,Rob Laskey,fhvp,71
我會還你的！ [Rogue][event],,"""我會還你的！""",,Rogue,None,None,0,0,None,None,None,None,Agility,Willpower,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",局勢. 技巧.,"快速。只能在你的回合期間打出。
選擇你所在地點的一位調查員。將該調查員資源池的所有資源移動到你的資源池。當本輪結束時，將你資源池的所有資源移動到該調查員的資源池。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10072.png,1.25,0,118,Carlos Palma Cruchaga,fhvp,72
挑撥離間 [Rogue][event],,挑撥離間,,Rogue,None,None,3,0,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",技巧. 局勢.,<b>談判</b>。選擇你所在地點的一名敵人並檢定<int>(X)，其中X為所選敵人的傷害和恐懼值總和。如果你成功，對你所在地點的每名敵人各造成2點傷害。如果你成功且超過難度至少2點，在此效果結算後，你可以與每名敵人解除交戰，並移動到連接地點。,"
""他講了你頭髮的壞話…""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10073.png,1.25,0,118,Ibazan Lazcano,fhvp,73
紅顏禍水 [Rogue][event],,紅顏禍水,,Rogue,None,None,1,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",技巧.,"<b>談判</b>。選擇你所在地點的一名敵人並檢定任意技能(3)。如果你成功，並且你檢定了……
<bul> ...…<wil>，從該敵人上移除1個毀滅標記。
<bul> ...…<int>，發現你所在地點的1個線索。
<bul> ...…<agi>，自動躲避該敵人。如果該敵人非<b><i>精英</i></b>，將其移動到連接地點。
<bul> ...…<com>，對該敵人造成2點傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10074.png,1.25,0,118,Christine Thomas,fhvp,74
告密者 (2) [Rogue][event],,告密者,,Rogue,None,None,1,2,None,None,None,None,Agility,Intellect,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",恩惠. 技巧.,"快速。在你進行談判並且技能檢定成功後打出。
發現你所在地點和連接地點的總計2個線索。","
""我不應該告訴你的，不過你看起來可以信任……""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10078.png,1.25,0,118,Drazenka Kimpel,fhvp,78
齷齪生意 (3) [Rogue][event],,齷齪生意,,Rogue,None,None,1,3,None,None,None,None,Agility,Combat,Wild,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",恩惠. 雙倍. 違法.,"作為打出齷齪生意的額外費用，花費一個行動。
在你的牌堆中查找一張<b><i>違法</i></b>支援卡，並支付其費用將其打出。然後，你可以結算該支援卡上的一個<act>或<fre>能力，忽略所有費用<i>(包含其<act>費用，如果有的話)</i>。打出這張卡牌不會引起趁亂攻擊。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10080.png,1.25,0,118,Derek D Edgell,fhvp,80
紅顏禍水 (3) [Rogue][event],,紅顏禍水,,Rogue,None,None,1,3,None,None,None,None,Wild,Wild,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",技巧.,"<b>談判</b>。選擇你所在地點的一名敵人與任意數量的技能。以任意順序依次檢定所選的技能(2)。如果你檢定成功並且檢定了……
<bul> ...…<wil>，從該敵人上移除1個毀滅標記。
<bul> ...…<int>，發現該敵人所在地點的1個線索。
<bul> ...…<agi>，自動躲避該敵人。如果該敵人非<b><i>精英</i></b>，將其移動到連接地點。
<bul> ...…<com>，對該敵人造成2點傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10081.png,1.25,0,118,Christine Thomas,fhvp,81
挑撥離間 (5) [Rogue][event],,挑撥離間,,Rogue,None,None,3,5,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",技巧. 局勢.,<b>談判</b>。選擇你所在地點的一名敵人並檢定<int>(X)，其中X為所選敵人的傷害/恐懼值總和。如果你成功，對你所在地點的每名敵人造成X點傷害。在此效果結算後，你可以與每名敵人解除交戰，並移動到連接地點。,"
""…並且他還說你是個蠢貨！""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10083.png,1.25,0,118,Ibazan Lazcano,fhvp,83
深淵腐蝕 [Mystic][event],,深淵腐蝕,,Mystic,None,None,0,0,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",法術. 腐爛. 詛咒縈繞.,"綁定(卡納瑪戈斯的權杖)
被疊加的敵人不能攻擊。
<b>強制</b> - 在被疊加的敵人離場時：將深淵腐蝕放在一邊，位於場外。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10086.png,1.25,0,118,Peter Polach,fhvp,86
珀色腐蝕 [Mystic][event],,珀色腐蝕,,Mystic,None,None,0,0,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",法術. 腐爛. 詛咒縈繞.,"綁定(卡納瑪戈斯的權杖)
<b>強制</b> - 在被疊加的敵人被擊敗時：獲得等同於其印刷生命值數量的資源(最多5)。
<b>強制</b> - 在被疊加的敵人離場時：將珀色腐蝕放在一邊，位於場外。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10087.png,1.25,0,118,Peter Polach,fhvp,87
虛弱腐蝕 [Mystic][event],,虛弱腐蝕,,Mystic,None,None,0,0,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",法術. 腐爛. 詛咒縈繞.,"綁定(卡納瑪戈斯的權杖)
被疊加的敵人-1攻擊和-1躲避。
<b>強制</b> - 在被疊加的敵人離場時：將虛弱腐蝕放在一邊，位於場外。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10088.png,1.25,0,118,Peter Polach,fhvp,88
猩紅腐蝕 [Mystic][event],,猩紅腐蝕,,Mystic,None,None,0,0,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",法術. 腐爛. 詛咒縈繞.,"綁定(卡納瑪戈斯的權杖)
<b>強制</b> - 當本輪結束時：被疊加的敵人受到1點傷害。
<b>強制</b> - 在被疊加的敵人離場時：將猩紅腐蝕放在一邊，位於場外。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10089.png,1.25,0,118,Peter Polach,fhvp,89
邪綠腐蝕 [Mystic][event],,邪綠腐蝕,,Mystic,None,None,0,0,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",法術. 腐爛. 詛咒縈繞.,"綁定(卡納瑪戈斯的權杖)
被疊加的敵人不能移動。
<b>強制</b> - 在被疊加的敵人離場時：將邪綠腐蝕放在一邊，位於場外。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10090.png,1.25,0,118,Peter Polach,fhvp,90
洪荒聖歌 [Mystic][event],,洪荒聖歌,,Mystic,None,None,2,0,None,None,None,None,Combat,Intellect,Willpower,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",預言. 雙倍..,"作為打出洪荒聖歌的額外費用，花費一個行動。
揭示遭遇牌堆頂部的5張卡牌。對於每張揭示的卡牌，你可以加入1個<cur>標記到混亂袋來將該卡牌放到遭遇牌堆底部。 將剩餘卡牌任意順序返回遭遇牌堆頂部 。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10093.png,1.25,0,118,Balance Sheet,fhvp,93
抽取精質 [Mystic][event],,抽取精質,,Mystic,None,None,2,0,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",法術.,<b>談判</b>。選擇你所在地點的一名敵人並檢定<wil>(X)，其中X為所選敵人的攻擊值。如果你成功，將你調查員上的1點傷害移動到所選敵人上(如果所選敵人非<b><i>精英</i></b>，改為最多2點傷害)。,"
你的一切現在歸我所有。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10094.png,1.25,0,118,JB Casacop,fhvp,94
召喚彼方 (2) [Mystic][event],,召喚彼方,,Mystic,None,None,0,2,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",儀式. 詛咒縈繞.,"作為打出召喚彼方的額外費用，加入3個<cur>標記到混亂袋。
選擇你控制的一張有""使用(充能)""或""使用(秘密)""的支援卡。補充該支援卡的所有充能或秘密。然後，你可以結算該支援卡上的一個<act>或<fre>能力，無需支付其<act>費用，如果有的話。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10099.png,1.25,0,118,Leonardo Borazio,fhvp,99
飄渺靈體 (2) [Mystic][event],,飄渺靈體,,Mystic,None,None,2,2,None,None,None,None,Agility,Willpower,Wild,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",法術.,<b>躲避</b>。將你的<wil>值加入你這次躲避的技能值。如果你成功，與每名與你交戰的其於敵人解除交戰，並且本輪接下來的時間裡，你視為無形(敵人不能與你交戰，並且你不能攻擊或對敵人造成傷害)。如果這次躲避期間有抽出符號，當你回合結束時將飄渺靈體返回你的手牌。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10100.png,1.25,0,118,Pavel Kolomeyets,fhvp,100
解讀秘符 (2) [Mystic][event],,解讀秘符,,Mystic,None,None,2,2,None,None,None,None,Intellect,Willpower,Wild,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",法術.,<b>調查</b>。將你的<wil>值加入你這次調查的技能值。你可以忽略這次調查期間將在你所在地點觸發的任意效果或關鍵詞。如果你成功，發現此地點的額外1個線索。如果這次調查期間有抽出符號，當你回合結束時將解讀秘符返回你的手牌。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10101.png,1.25,0,118,Ilich Henriquez,fhvp,101
幽靈利刃 (2) [Mystic][event],,幽靈利刃,,Mystic,None,None,2,2,None,None,None,None,Combat,Willpower,Wild,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",法術.,<b>攻擊</b>。將你的<wil>值加入你這次攻擊的技能值。在這次攻擊前，你可以立即與被攻擊的敵人交戰。這次攻擊造成+1傷害(如果該敵人非<b><i>精英</i></b>，改為+2傷害)。如果這次攻擊期間有抽出符號，當你回合結束時將幽靈利刃返回你的手牌。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10102.png,1.25,0,118,Pavel Kolomeyets,fhvp,102
以太織法 (3) [Mystic][event],,以太織法,,Mystic,None,None,1,3,None,None,None,None,Agility,Willpower,Wild,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",勇氣. 雙倍..,"作為打出以太織法的額外費用，花費一個行動。
從你的手牌中揭示最多3張不同的<b><i>法術</i></b>事件卡。一次一張，打出每張揭示的事件，其費用減1。結算這些事件的時候，你+2技能值。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10103.png,1.25,0,118,Aleksander Karcz,fhvp,103
古者封印 (5) [Mystic][event],,古者封印,,Mystic,None,None,0,5,None,None,None,None,Combat,Willpower,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",法術. 契約. 祝福. 詛咒縈繞.,"快速。在你所在地點，且其中抽出了至少2個<cur>標記或2個<ble>標記的技能檢定結束後打出。
如果抽出了2個<cur>標記，在你的綁定卡牌中查找黃銅侍從，並將其放置入場。如果抽出了2個<ble>標記，在你的綁定卡牌中查找門鑰守衛並將其放置入場。如果抽出了2個<cur>標記和2個<ble>標記，改為執行兩者。將古者封印從遊戲中移除。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10105.png,1.25,0,118,Rob Laskey,fhvp,105
精心策畫的誘敵 [Survivor][event],,精心策畫的誘敵,,Survivor,None,None,3,0,None,None,None,None,Agility,Combat,Willpower,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",技巧. 雙倍..,"作為打出精心策畫的誘敵的額外費用，花費一個行動。打出精心策畫的誘敵不會引起趁亂攻擊。
對於你所在地點與連接地點的每名敵人，選擇以下一項：
<bul> 如果該敵人非<b><i>精英</i></b>，自動躲避該敵人。
<bul> 對該敵人造成1點傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10112.png,1.25,0,118,M Findley,fhvp,112
物盡其用 [Survivor][event],,物盡其用,,Survivor,None,None,2,0,None,None,None,None,Combat,Willpower,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",策略. 臨時製品.,"選擇你棄牌堆中的一張<b><i>武器</i></b>或<b><i>工具</i></b>支援卡。結算該支援卡上的一個<act>能力，忽略所有費用<i>(包含其<act>費用)</i>。
在此效果結算後，將所選支援卡混洗入你的牌堆。 打出此卡牌不會引起趁亂攻擊。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10113.png,1.25,0,118,Lin Hsiang,fhvp,113
拖延時間 [Survivor][event],,拖延時間,,Survivor,None,None,1,0,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",策略. 技巧.,<b>談判</b>。選擇你所在地點的一名敵人。檢定<wil>(X)，其中X為所選敵人的攻擊值或躲避值，取其中較低的數值。如果你成功，消耗所選敵人<i>(但不與其解除交戰)</i>. 如果其非<b><i>精英</i></b>，其在下次補給階段期間不準備。如果你失敗，將拖延時間返回你的手牌。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10114.png,1.25,0,118,Isuardi Therianto,fhvp,114
對的時間，錯的地點 [Survivor][event],,對的時間，錯的地點,,Survivor,None,None,0,0,None,None,None,None,Agility,Willpower,Wild,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",勇氣. 雙倍..,"作為打出對的時間，錯的地點的額外費用，花費一個行動。
將你調查員上的最多5點傷害和/或恐懼移動到你所在地點調查員控制的支援卡上。每有一張支援卡因此效果被擊敗，抽取1張卡牌。將對的時間，錯的地點從遊戲中移除。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10115.png,1.25,0,118,Adam Schumpert,fhvp,115
堅守信念 (2) [Survivor][event],,堅守信念,,Survivor,None,None,0,2,None,None,None,None,Willpower,Willpower,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",幸運. 祝福.,"快速。在任何<fre>時間段期間打出。
加入4個<ble>標記到混亂袋。","
行走於信仰之光者無懼黑暗。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10124.png,1.25,0,118,Roberto Campus,fhvp,124
靜候時機 [Neutral][event],,靜候時機,,Neutral,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",雙倍..,"作為打出靜候時機的額外費用，花費一個行動。
在你的下回合期間，你可以進行二個額外行動。","
距離午夜已經過了半小時，你開始懷疑這一切都是個騙局。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10129.png,1.25,0,118,Lin Hsiang,fhvp,129
黎明之星 (1) [Neutral][event],,黎明之星,,Neutral,None,None,1,1,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",儀式. 祝福.,"快速。在你所在地點的技能檢定期間抽出混亂標記後打出。
忽略這次檢定期間抽出的每個<cur>標記的修正值。每忽略一個<cur>標記，對你所在地點的一名敵人造成1點傷害。","
唯有堅強的心靈可以擊碎黑暗。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10131.png,1.25,0,118,Edgar Sánchez Hidalgo,fhvp,131
曉燭夜深 [Seeker][event],,曉燭夜深,,Seeker,None,None,0,0,None,None,None,None,Agility,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,<b>調查</b>。在這次行動開始時，獲得2資源。,"
至死方入眠",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60214.png,1.25,0,118,Paolo Puggioni,CoreSet,14
神秘筆跡 [Seeker][event],,神秘筆跡,,Seeker,None,None,0,0,None,None,None,None,Intellect,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,"獲得2資源。
<rea>在你自己回合抽到神秘筆跡後：將其打出。","
""……相比之下，還有少量書籍是以我無法理解的語言寫說的。""
<cite>H. P. 洛夫克拉夫特，《倫道夫·卡特的供述》</cite>",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60215.png,1.25,0,118,Anna Christenson,CoreSet,15
海量研究 [Seeker][event],,海量研究,,Seeker,None,None,12,0,None,None,None,None,Intellect,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,"你每有1張其它手牌，海量研究的打出費用減少1點。
發現你所在地點的2個線索。","
""這兒也沒發現。我們還差多少沒查？""
""……瞧瞧你背後這面牆？""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60216.png,1.25,0,118,Andreia Ugrai,CoreSet,16
祕法禱言 [Seeker][event],,祕法禱言,,Seeker,None,None,2,0,None,None,None,None,Combat,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術.,"作為打出祕法禱言的額外費用，丟棄你最多2張手牌。
<b>攻擊</b>。這次攻擊不使用<com>，改為使用<int>。支付本卡牌費用時你每丟棄1張手牌，在這次攻擊中你+1<int>並造成+1傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60217.png,1.25,0,118,Paolo Puggioni,CoreSet,17
窺看不思議之事 (1) [Seeker][event],,窺看不思議之事,,Seeker,None,None,0,1,None,None,None,None,Intellect,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,抽取1張卡牌。將你手牌中任意數量的非弱點卡牌洗入你的牌堆。然後，抽取同等數量的卡牌。,"
無知是福，但你無福消受。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60221.png,1.25,0,118,Brian Valenzuela,CoreSet,21
神秘筆跡 (2) [Seeker][event],,神秘筆跡,,Seeker,None,None,0,2,None,None,None,None,Intellect,Wild,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,"獲得3個資源(如果你手牌中有至少10張其它卡牌，改為4個資源)。
<rea>在你自己回合抽取神秘筆跡後：將其打出。","
""……相比之下，還有少量書籍是以我無法理解的語言寫說的。""
<cite>H. P. 洛夫克拉夫特，《倫道夫·卡特的供述》</cite>",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60224.png,1.25,0,118,Anna Christenson,CoreSet,24
我有個計劃！ (2) [Seeker][event],,"""我有個計劃！""",,Seeker,None,None,2,2,None,None,None,None,Combat,Intellect,Intellect,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察. 策略.,<b>攻擊</b>。這次攻擊不使用<com>，改為使用<int>。這次檢定中你+2<int>。你每持有1個線索，這次攻擊造成+1傷害(最大+3傷害)。,"
""這應該是我聽過最爛的計畫了。好吧，那麼還蹭什麼？快動手吧！""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60225.png,1.25,0,118,Robert Laskey,CoreSet,25
心勝於物 (2) [Seeker][event],,心勝於物,,Seeker,None,None,1,2,None,None,None,None,Agility,Combat,Wild,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,"快速。只能在你回合中打出。
直到本輪結束，將你的<int>分別增加到<com>和<agi>。抽取1張卡牌。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60226.png,1.25,0,118,Maggie Ivy,CoreSet,26
尋找答案 (2) [Seeker][event],,尋找答案,,Seeker,None,None,1,2,None,None,None,None,Agility,Agility,Intellect,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,"<b>調查</b>。如果你成功，不發現所在地點的一個線索，改為發現你所在地點和連接地點的總計2個線索。<i>(FAQ, v1.9)</i>","
有些人會不惜一切代價來找到真相。但是有些真相卻能傷人。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60227.png,1.25,0,118,Andreia Ugrai,CoreSet,27
平行命運 [Mystic][event],,平行命運,,Mystic,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2020 FFG</family>",預言.,查看遭遇牌堆頂部的4張卡牌。從混亂袋隨機抽出1個標記。如果抽出<sku>、<cul>、<tab>、<mon>或<ten>符號，將這些卡牌混洗入遭遇牌堆。否則，將它們以任意順序放回遭遇牌堆頂部。,"
""如果我說，在你瀕死之際我才會把你的命運告訴你，你還想知道嗎？""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60415.png,1.25,0,118,Alice Duke,JacquelineFine,15
太陽神之音 [Mystic][event],,太陽神之音,,Mystic,None,None,0,0,None,None,None,None,Willpower,None,None,None,None,None,"<family ""Arial""><cop> 2020 FFG</family>",法術.,獲得1個資源。從混亂袋隨機抽出3個標記。每抽出1個<sku>、<cul>、<tab>、<mon>或<ten>符號，額外獲得2個資源。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60416.png,1.25,0,118,Matt Bradbury,JacquelineFine,16
恐怖靈感 (1) [Mystic][event],,恐怖靈感,,Mystic,None,None,0,1,None,None,None,None,Intellect,Intellect,Willpower,None,None,None,"<family ""Arial""><cop> 2020 FFG</family>",法術. 勇氣.,"快速。在你將要結算一張<mys>卡牌的效果，且該效果在混亂標記抽出時或抽出後觸發時打出。
取消該效果或額外結算一次該效果。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60420.png,1.25,0,118,Rafał Hrynkiewicz,JacquelineFine,20
催眠術 (2) [Mystic][event],,催眠術,,Mystic,None,None,2,2,None,None,None,None,Agility,Agility,Combat,None,None,None,"<family ""Arial""><cop> 2020 FFG</family>",法術.,"快速。在一名敵人攻擊你所在地點的調查員時打出。
取消該次攻擊。然後，從混亂袋隨機抽出1個標記。如果抽出<sku>、<cul>、<tab>、<mon>或<ten>符號，對進行攻擊的敵人造成傷害，傷害點數等於其傷害值或恐懼值。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60423.png,1.25,0,118,Falk,JacquelineFine,23
重新充能 (4) [Mystic][event],,重新充能,,Mystic,None,None,0,4,None,None,None,None,Willpower,Willpower,Willpower,None,None,None,"<family ""Arial""><cop> 2020 FFG</family>",法術.,選擇你所在地點的調查員控制的一張<b><i>法術</i></b>或<b><i>遺物</i></b>支援卡，從混亂袋中隨機抽出1個標記。如果抽出<sku>、<cul>、<tab>、<mon>或<ten>符號，所選支援卡增加1充能。否則，所選支援卡增加4充能。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60429.png,1.25,0,118,Martin de Diego Sádaba,JacquelineFine,29
幹掉他們 [Guardian][event],,幹掉他們,,Guardian,None,None,0,0,None,None,None,None,Combat,Willpower,None,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",勇氣. 策略.,<b>攻擊</b>。在這次行動開始時，獲得2資源。,"
該緊緊螺絲了。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60111.png,1.25,0,118,Patrick McEvoy,NathanielCho,11
還擊 [Guardian][event],,還擊,,Guardian,None,None,0,0,None,None,None,None,Agility,Combat,None,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",勇氣. 策略.,"快速。在一名敵人攻擊你後打出，不論該次攻擊是否被取消。
<b>攻擊</b>。這次攻擊將剛剛發動攻擊的敵人作為目標。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60112.png,1.25,0,118,Patrick McEvoy,NathanielCho,12
到這兒來！ [Guardian][event],,"""到這兒來！""",,Guardian,None,None,2,0,None,None,None,None,Combat,Willpower,None,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",勇氣. 策略.,<b>交戰</b>。<b>攻擊</b>。選擇你所在地點或一個連接地點的一名非<b><i>精英</i></b>敵人。將該敵人移動到你所在地點，與其交戰，並攻擊該敵人。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60114.png,1.25,0,118,Derek D. Edgell,NathanielCho,14
